symbol,order_type,lots,status,open_price,close_price,stop_loss,take_profit,magic_number,order_number,open_time,close_time,profit
USDJPY60,1,10,2,78.052,78.113,0,0,1234,24159,2011-07-26 14:59:00 +0900,2011-07-26 16:29:00 +0900,0.61
USDJPY60,2,5,2,78.113,78.066,0,0,1235,24160,2011-07-26 16:29:00 +0900,2011-07-26 17:37:00 +0900,0.235
USDJPY60,1,10,2,78.066,78.124,0,0,1234,24161,2011-07-26 17:37:00 +0900,2011-07-26 17:59:00 +0900,0.58
USDJPY60,2,5,2,78.124,78.069,0,0,1235,24162,2011-07-26 17:59:00 +0900,2011-07-26 19:05:00 +0900,0.275
USDJPY60,1,10,2,78.069,78.1,0,0,1234,24163,2011-07-26 19:05:00 +0900,2011-07-26 20:22:00 +0900,0.31
USDJPY60,2,5,2,78.1,78.045,0,0,1235,24164,2011-07-26 20:22:00 +0900,2011-07-26 21:00:00 +0900,0.275
USDJPY60,1,10,2,78.045,78.083,0,0,1234,24165,2011-07-26 21:00:00 +0900,2011-07-26 21:20:00 +0900,0.38
USDJPY60,2,5,2,78.083,78.059,0,0,1235,24166,2011-07-26 21:20:00 +0900,2011-07-26 21:27:00 +0900,0.12
USDJPY60,1,10,2,78.059,78.083,0,0,1234,24167,2011-07-26 21:27:00 +0900,2011-07-26 23:01:00 +0900,0.24
USDJPY60,2,5,2,78.083,78.037,0,0,1235,24168,2011-07-26 23:01:00 +0900,2011-07-26 23:36:00 +0900,0.23
USDJPY60,1,10,2,78.037,78.044,0,0,1234,24169,2011-07-26 23:36:00 +0900,2011-07-27 01:42:00 +0900,0.07
USDJPY60,2,5,2,78.044,78.033,0,0,1235,24170,2011-07-27 01:42:00 +0900,2011-07-27 02:33:00 +0900,0.055
USDJPY60,1,10,2,78.033,77.894,0,0,1234,24171,2011-07-27 02:33:00 +0900,2011-07-27 04:42:00 +0900,-1.39
USDJPY60,2,5,2,77.894,77.896,0,0,1235,24172,2011-07-27 04:42:00 +0900,2011-07-27 05:56:00 +0900,-0.01
USDJPY60,1,10,2,77.896,77.907,0,0,1234,24173,2011-07-27 05:56:00 +0900,2011-07-27 06:17:00 +0900,0.11
USDJPY60,2,5,2,77.907,77.917,0,0,1235,24174,2011-07-27 06:17:00 +0900,2011-07-27 06:26:00 +0900,-0.05
USDJPY60,1,10,2,77.917,77.924,0,0,1234,24175,2011-07-27 06:26:00 +0900,2011-07-27 06:31:00 +0900,0.07
USDJPY60,2,5,2,77.924,77.92,0,0,1235,24176,2011-07-27 06:31:00 +0900,2011-07-27 06:32:00 +0900,0.02
USDJPY60,1,10,2,77.92,77.92,0,0,1234,24177,2011-07-27 06:32:00 +0900,2011-07-27 06:42:00 +0900,0.0
USDJPY60,2,5,2,77.92,77.925,0,0,1235,24178,2011-07-27 06:42:00 +0900,2011-07-27 07:39:00 +0900,-0.025
USDJPY60,1,10,2,77.925,77.988,0,0,1234,24179,2011-07-27 07:39:00 +0900,2011-07-27 08:33:00 +0900,0.63
USDJPY60,2,5,2,77.988,77.964,0,0,1235,24180,2011-07-27 08:33:00 +0900,2011-07-27 09:29:00 +0900,0.12
USDJPY60,1,10,2,77.964,77.862,0,0,1234,24181,2011-07-27 09:29:00 +0900,2011-07-27 11:34:00 +0900,-1.02
USDJPY60,2,5,2,77.862,77.822,0,0,1235,24182,2011-07-27 11:34:00 +0900,2011-07-27 12:15:00 +0900,0.2
